Country,Regional_maximum_price ,Regional_minimum_price ,Average_price
Netherlands,1787,714,914
Denmark,715.2399613,534.6126782,593.5264473
Greece,1009.92,261.98,498
Ireland,513.17,243.43,417.41
Austria,471,286,323
Belgium,472,184,315
Bulgaria,439.7177626,179.4662031,311.8928316
Luxembourg,279.61,279.61,279.61
Finland,287,153,233
Lithuania,228.728046,185.974019,226.561732
Hungary,239.0991227,146.6544455,202.6973943
EU27 after Brexit,,,172.7584625
Czech Republic,187.9255879,146.40853,164.4912914
Spain,1164.138014,101.21756,163.321262
France,163,163,163
Slovenia,177.72,151.38,158.58
Sweden,308.9485964,23.98961391,155.8854519
Estonia,102,102,102
Latvia,100.64,100.64,100.64
Malta,90.79,90.79,90.79
Croatia,109.761763,71.139425,74.324773
Slovakia,95.1,39.6,67.1
United States of America,,,136.5
England ,,,234
Germany,,,357
