Country,Regional_maximum_price ,Regional_minimum_price ,Average_price
Malta,283039,283039,283039
Netherlands,178093,73325,91154
Luxembourg,42540,42540,42540
Austria,189000,21100,37900
Ireland,39896,25919,35143
Slovenia,46939.69,22481.52,26520.94
Denmark,25737.98628,19831.56894,21420.5854
Greece,81853.9,6679.5,13979.1
Poland,18764.42096,7649.273448,13906.42889
Czech Republic,14742.62623,13024.37094,13791.32645
Spain,148247.4307,5910.504892,12421.14446
EU27 after Brexit,,,11791.0982
Sweden,21761.85664,1951.423494,10785.09949
Finland,13864,5686,8877
Romania,12404.22908,7136.676977,8414.498555
Bulgaria,12783.5157,3455.874834,8215.052664
Estonia,6347,6347,6347
France,14230,2580,6200
Hungary,6495.744402,3989.786565,5936.362446
Lithuania,5545.148152,4179.364557,5417.48451
Slovakia,6240.7,3455.92,5189.11
Latvia,4590.79,4590.79,4590.79
Croatia,6414.767307,3856.374665,4491.244598
